name,Type,Orbit (AU),e,Value ($),Est. Profit ($),Δv (km/s),Group
Konnohmaru,Sq,2.829,0.598,0,0,7.139,AMO
1994 LX,V,1.261,0.346,0,0,13.192,APO
1998 OH,S,1.542,0.406,0,0,8.827,APO (PHA)
1999 XO35,Sq,2.541,0.565,0,0,8.837,AMO
1999 GJ4,Sq,1.339,0.808,0,0,15.808,APO
Karayusuf,S,1.578,0.076,0,0,8.373,MCA
1991 CS,S,1.123,0.165,0,0,14.407,APO (PHA)
Krok,S,2.151,0.449,0,0,6.887,AMO
1993 UB,Sr,2.276,0.461,0,0,9.746,AMO
1991 VK,Sq,1.842,0.507,0,0,6.093,APO (PHA)
2000 OJ8,Sr,2.357,0.568,0,0,6.557,AMO (PHA)
2000 GO82,S,2.162,0.805,0,0,11.84,APO
1999 CU3,Sl,1.577,0.524,0,0,7.287,APO
2000 VN2,Sa,1.974,0.442,0,0,7.211,AMO
2000 GR146,S,1.463,0.575,0,0,8.52,APO
1999 JO8,S,2.651,0.575,0,0,9.683,AMO
2001 VG5,Sq,2.306,0.611,0,0,7.623,APO
Tjelvar,V,1.248,0.81,0,0,12.773,APO
1993 VW,V,1.696,0.485,0,0,6.352,APO
1989 VA,Sq,0.729,0.595,0,0,16.167,ATE
2001 DU8,S,1.777,0.342,0,0,11.58,AMO
1999 WK13,S,1.845,0.362,0,0,11.886,AMO
1999 KW4,S,0.642,0.689,0,0,21.374,ATE (PHA)
1998 YP11,Sr,1.721,0.389,0,0,6.789,AMO
2001 WG2,Sk,1.794,0.696,0,0,14.117,APO
2001 EB,Sl,1.629,0.256,0,0,12.663,AMO
1998 PB1,Sq,2.03,0.43,0,0,6.448,AMO
Norwan,S,1.568,0.317,0,0,5.776,AMO
1998 WM,Sq,1.225,0.315,0,0,8.812,APO
2001 MF1,Sk,2.651,0.577,0,0,9.596,AMO
Cerberus,S,1.08,0.467,0,0,9.23,APO
1998 WZ6,V,1.452,0.408,0,0,9.108,APO (PHA)
1998 PG,Sq,2.015,0.391,0,0,6.692,AMO
Yuliya,S,1.72,0.255,0,0,7.521,AMO
Bacchus,Sq,1.078,0.349,0,0,7.075,APO
1998 MQ,S,1.783,0.408,0,0,8.775,AMO
Vesta,V,2.361,0.089,0,0,,MBA
2001 XR1,Sq,1.245,0.55,0,0,9.52,APO
Aten,Sr,0.967,0.183,0,0,8.642,ATE
2001 UA5,Sq,1.787,0.446,0,0,6.072,APO (PHA)
1994 PC1,S,1.346,0.328,0,0,11.666,APO (PHA)
2001 XN254,S,2.325,0.558,0,0,6.229,AMO (PHA)
2000 XL44,S,2.224,0.427,0,0,7.38,AMO
Nyx,V,1.927,0.459,0,0,5.712,AMO
2000 AX93,Sq,2.21,0.479,0,0,9.173,AMO
1991 TB1,S,1.454,0.352,0,0,8.452,APO
1992 SK,S,1.248,0.325,0,0,7.037,APO (PHA)
1997 GH3,S,2.502,0.563,0,0,6.655,AMO
1991 VH,Sk,1.137,0.144,0,0,6.39,APO (PHA)
2001 OE84,S,2.279,0.473,0,0,7.161,AMO
2000 JQ66,R,2.166,0.419,0,0,7.007,AMO
2000 EX106,S,1.104,0.276,0,0,6.347,APO
Verenia,V,2.093,0.487,0,0,6.62,AMO
1998 XB,S,0.908,0.351,0,0,8.936,ATE
1995 WL8,Sq,2.365,0.484,0,0,8.417,AMO
Ninkasi,Sq,1.37,0.168,0,0,7.143,AMO
2002 AL14,Ld,1.038,0.126,0,0,9.963,APO
1998 QR15,Sq,2.765,0.559,0,0,7.652,AMO
1997 BQ,S,1.746,0.478,0,0,6.494,APO (PHA)
1994 AW1,Sa,1.105,0.076,0,0,10.267,AMO (PHA)
2000 GK137,Sq,1.996,0.506,0,0,6.459,APO (PHA)
2002 BK25,Sk,2.298,0.748,0,0,8.876,APO (PHA)
2000 JG5,S,1.341,0.796,0,0,14.928,APO (PHA)
1998 FX2,Sq,2.153,0.491,0,0,6.802,AMO
Tomaiyowit,S,1.08,0.356,0,0,7.244,APO (PHA)
1999 EE5,S,1.669,0.282,0,0,11.176,AMO
1999 YF3,Sq,1.487,0.143,0,0,10.75,AMO
2000 WF6,Sq,2.46,0.503,0,0,13.339,AMO
2001 QQ142,Sq,1.423,0.311,0,0,5.35,APO (PHA)
2001 EC,Sq,2.589,0.771,0,0,8.269,APO (PHA)
2000 GU127,S,2.105,0.727,0,0,8.518,APO
1999 YB,Sq,1.321,0.075,0,0,5.892,AMO
2002 AQ2,S,2.66,0.608,0,0,7.493,AMO
2001 WA25,S,1.756,0.517,0,0,7.484,APO
1999 DJ4,Sq,1.853,0.484,0,0,6.224,APO (PHA)
1997 UH9,Sq,0.83,0.475,0,0,13.159,ATE
1998 VR,Sk,0.876,0.318,0,0,10.604,ATE
1980 WF,V,2.235,0.516,0,0,6.526,AMO
2001 WL15,Sk,1.988,0.474,0,0,6.139,AMO
1999 JV3,S,1.451,0.415,0,0,7.087,APO
Saunders,Sq,2.305,0.482,0,0,6.982,AMO
1999 FK21,S,0.739,0.703,0,0,15.285,ATE
1999 DB2,Sq,3.037,0.612,0,0,7.925,AMO
1998 WP5,Sl,1.374,0.195,0,0,7.906,AMO
1997 BR,S,1.335,0.306,0,0,7.012,APO (PHA)
Eunomia,S,2.644,0.186,0,0,,MBA
1992 FE,V,0.927,0.405,0,0,8.875,ATE (PHA)
1998 MW5,Sq,1.023,0.363,0,0,7.199,APO
1999 YG3,S,1.285,0.329,0,0,12.258,APO (PHA)
Juno,Sk,2.669,0.257,0,0,,MBA
2000 GJ147,S,1.162,0.237,0,0,9.645,APO (PHA)
1997 GL3,V,2.276,0.782,0,0,8.932,APO (PHA)
2001 JM1,S,1.461,0.311,0,0,6.722,APO (PHA)
2000 GD2,Sq,0.758,0.477,0,0,15.677,ATE
2001 TC45,Sq,2.22,0.642,0,0,8.215,APO (PHA)
2000 GV127,S,2.844,0.615,0,0,8.602,AMO
1994 TF2,Sr,0.993,0.284,0,0,10.566,ATE
1999 ND43,Sl,1.523,0.314,0,0,5.171,AMO
1998 SG2,Sq,2.248,0.458,0,0,6.737,AMO
1997 TT25,Sq,2.123,0.418,0,0,6.933,AMO
2001 XY10,Sk,0.872,0.387,0,0,13.663,ATE
1998 SU27,Sq,2.124,0.596,0,0,6.854,APO
1998 BG9,S,2.51,0.541,0,0,7.703,AMO
2000 SY162,Sq,2.293,0.458,0,0,7.144,AMO
2002 AA,Sq,1.148,0.302,0,0,6.561,APO
Hebe,S,2.425,0.203,0,0,,MBA
Iris,S,2.385,0.231,0,0,,MBA
Mnemosyne,S,3.151,0.113,0,0,,MBA
Amphitrite,S,2.554,0.073,0,0,,MBA
2001 QA143,Sk,2.259,0.493,0,0,6.762,AMO
2000 KL33,S,2.113,0.43,0,0,6.771,AMO
1999 SK10,Sq,1.763,0.441,0,0,5.722,APO
1999 CV8,V,1.297,0.352,0,0,7.041,APO
1999 JE1,Sq,1.323,0.702,0,0,11.578,APO (PHA)
2001 XU30,Sq,2.192,0.667,0,0,7.724,APO (PHA)
2000 WL63,S,1.432,0.299,0,0,6.971,APO
2000 MU1,S,1.373,0.382,0,0,6.656,APO (PHA)
1999 RB32,V,2.43,0.57,0,0,6.491,AMO
Polyhymnia,Sq,2.873,0.331,0,0,,MBA
Apophis,Sq,0.922,0.191,0,0,5.688,ATE (PHA)
2001 FY,S,1.886,0.327,0,0,6.546,AMO
Parthenope,Sk,2.453,0.1,0,0,,MBA
Atala,S,3.137,0.081,0,0,,MBA
Massalia,S,2.41,0.142,0,0,,MBA
Philomela,S,3.113,0.016,0,0,,MBA
Gallia,S,2.772,0.187,0,0,,MBA
Hathor,Sq,0.844,0.45,0,0,9.608,ATE (PHA)
2000 YF29,S,1.492,0.371,0,0,5.38,APO (PHA)
2000 DO1,V,1.43,0.682,0,0,9.063,APO (PHA)
1998 BB10,Sq,1.272,0.425,0,0,7.16,APO (PHA)
Laetitia,S,2.769,0.111,0,0,,MBA
1998 VD35,Sq,1.565,0.476,0,0,6.35,APO (PHA)
1993 TQ2,Sa,1.985,0.42,0,0,6.372,AMO
Irene,S,2.586,0.167,0,0,,MBA
1999 AQ10,S,0.934,0.236,0,0,6.356,ATE (PHA)
Melpomene,S,2.297,0.218,0,0,,MBA
2000 WM63,S,1.03,0.157,0,0,8.97,APO
Euterpe,S,2.347,0.173,0,0,,MBA
Danae,S,2.986,0.166,0,0,,MBA
Astraea,S,2.574,0.191,0,0,,MBA
1999 FA,S,1.078,0.133,0,0,6.225,APO (PHA)
2002 DU3,Sq,1.145,0.238,0,0,5.653,APO (PHA)
Bellona,S,2.776,0.152,0,0,,MBA
1996 FQ3,Sq,2.032,0.469,0,0,5.972,AMO
Urania,Sl,2.366,0.128,0,0,,MBA
Nausikaa,Sl,2.403,0.245,0,0,,MBA
Thalia,S,2.626,0.235,0,0,,MBA
2000 WJ63,Sq,2.837,0.591,0,0,7.126,AMO
Athamantis,Sl,2.382,0.062,0,0,,MBA
1999 YD,Sk,2.462,0.594,0,0,6.322,APO (PHA)
Thetis,Sl,2.47,0.133,0,0,,MBA
Ariadne,Sk,2.203,0.168,0,0,,MBA
2001 JV1,Sq,1.705,0.435,0,0,5.679,APO (PHA)
Asia,S,2.421,0.185,0,0,,MBA
2002 BA1,S,2.062,0.456,0,0,6.203,AMO
2002 AK14,V,1.017,0.106,0,0,8.51,APO
Ausonia,Sa,2.395,0.127,0,0,,MBA
2002 CT46,Sr,2.364,0.529,0,0,7.855,AMO
1999 DY2,Sr,2.039,0.464,0,0,6.402,AMO
2000 AH205,Sk,1.144,0.406,0,0,6.734,APO
1999 FN19,Sq,1.647,0.391,0,0,5.085,APO
2000 AE205,S,1.165,0.138,0,0,4.251,APO
2000 YA,Sk,2.386,0.645,0,0,6.925,APO
2002 DQ3,Sq,1.387,0.255,0,0,4.811,AMO
Itokawa,S(IV),1.324,0.28,0,0,4.637,APO (PHA)
2000 DO8,S,2.473,0.616,0,0,6.489,APO
2009 DD45,S,1.241,0.205,0,0,6.021,APO
1998 BT13,Sq,2.456,0.598,0,0,6.346,APO
5154 T-3,?,3.091,0.276,0,0,9.908,MBA
4658 T-3,?,2.134,0.195,0,0,8.06,MBA
4571 T-3,?,2.546,0.288,0,0,8.63,MBA
3521 T-3,?,2.433,0.364,0,0,7.795,MCA
3411 T-3,?,2.482,0.165,0,0,9.127,MBA
2678 T-3,?,2.26,0.258,0,0,8.464,MBA
2620 T-3,?,3.265,0.256,0,0,10.694,OMB
2060 T-2,?,2.373,0.202,0,0,8.575,MBA
1168 T-2,?,2.645,0.259,0,0,9.58,MBA
1077 T-2,?,2.652,0.209,0,0,9.23,MBA
6879 P-L,?,3.054,0.257,0,0,9.723,MBA
6344 P-L,?,2.813,0.665,0,0,7.019,APO (PHA)
6331 P-L,?,2.335,0.283,0,0,8.363,MBA
6013 P-L,?,2.28,0.186,0,0,8.617,MBA
4847 P-L,?,2.722,0.238,0,0,9.402,MBA
4717 P-L,?,2.954,0.219,0,0,9.706,MBA
4532 P-L,?,2.325,0.201,0,0,8.69,MBA
4198 P-L,?,2.229,0.262,0,0,8.059,MCA
2181 P-L,?,3.022,0.267,0,0,9.832,MBA
2018 VB1,?,0.755,0.415,0,0,10.039,ATE
2018 VA1,?,1.374,0.272,0,0,5.678,APO
2018 VZ,?,1.33,0.322,0,0,8.763,APO
2018 VY,?,1.713,0.413,0,0,14.309,APO
2018 VX,?,1.544,0.477,0,0,8.139,APO
2018 VW,?,1.444,0.489,0,0,6.577,APO
2018 VV,?,1.556,0.307,0,0,9.316,AMO
2018 VU,?,1.235,0.199,0,0,9.04,APO
2018 VT,?,1.281,0.264,0,0,7.672,APO
2018 VS,?,2.003,0.482,0,0,6.207,AMO
2018 VR,?,1.757,0.429,0,0,5.568,APO
2018 VQ,?,2.637,0.358,0,0,9.625,MBA
2018 VP,?,2.082,0.33,0,0,7.196,MCA
2018 VO,?,2.252,0.332,0,0,7.896,MCA
2018 VN,?,1.749,0.025,0,0,12.721,IMB
2018 VM,?,1.731,0.143,0,0,10.125,MCA
2018 VL,?,1.036,0.235,0,0,5.717,APO
2018 VK,?,1.832,0.55,0,0,6.454,APO
2018 VJ,?,2.588,0.387,0,0,11.938,MCA
2018 VH,?,1.767,0.133,0,0,8.465,MCA
2018 VG,?,0.766,0.362,0,0,9.123,ATE
2018 VF,?,1.85,0.48,0,0,5.603,APO
2018 VE,?,1.247,0.183,0,0,4.642,AMO
2018 VD,?,1.068,0.42,0,0,7.638,APO
2018 VC,?,1.126,0.169,0,0,4.547,APO
2018 VB,?,1.115,0.281,0,0,6.193,APO
2018 VA,?,1.196,0.149,0,0,4.148,AMO
2018 UH3,?,3.092,0.403,0,0,11.134,MBA
2018 UG3,?,1.659,0.422,0,0,5.569,APO
2018 UF3,?,2.278,0.229,0,0,12.021,MBA
2018 UE3,?,1.504,0.332,0,0,7.064,APO
2018 UD3,?,1.773,0.457,0,0,5.51,APO
2018 UC3,?,1.068,0.016,0,0,8.308,AMO
2018 UB3,?,1.623,0.448,0,0,5.631,APO
2018 UA3,?,1.198,0.424,0,0,6.703,APO
2018 UZ2,?,1.932,0.056,0,0,10.42,IMB
2018 UY2,?,2.562,0.384,0,0,9.376,MCA
2018 UX2,?,1.843,0.097,0,0,9.632,MCA
2018 UW2,?,1.869,0.052,0,0,10.091,IMB
2018 UV2,?,1.912,0.051,0,0,10.269,IMB
2018 UU2,?,1.887,0.037,0,0,10.231,IMB
2018 UT2,?,2.61,0.436,0,0,10.785,MCA
2018 US2,?,2.978,0.658,0,0,7.256,AMO
2018 UR2,?,1.811,0.407,0,0,12.616,AMO
2018 UQ2,?,2.798,0.649,0,0,7.888,APO
2018 UP2,?,2.491,0.461,0,0,10.651,MCA
2018 UO2,?,1.953,0.068,0,0,10.035,IMB
2018 UN2,?,2.388,0.261,0,0,9.411,MBA
2018 UM2,?,2.612,0.379,0,0,9.908,MCA
2018 UL2,?,2.681,0.362,0,0,9.534,MBA
2018 UK2,?,1.482,0.29,0,0,17.101,AMO
2018 UJ2,?,1.969,0.546,0,0,7.617,APO
2018 UE2,?,1.986,0.096,0,0,9.644,IMB
2018 UD2,?,2.608,0.456,0,0,7.615,MCA
2018 UC2,?,1.577,0.411,0,0,10.618,APO (PHA)
2018 UB2,?,1.889,0.036,0,0,10.635,IMB
2018 UA2,?,2.309,0.346,0,0,7.823,MCA
2018 UZ1,?,2.468,0.505,0,0,7.044,AMO
2018 UY1,?,0.883,0.303,0,0,7.474,ATE
2018 UX1,?,1.213,0.112,0,0,8.54,AMO
2018 UW1,?,1.962,0.543,0,0,6.158,APO
2018 UV1,?,0.935,0.247,0,0,10.164,ATE
2018 UU1,?,2.414,0.374,0,0,11.089,MCA
2018 UT1,?,2.679,0.485,0,0,9.425,MCA
2018 US1,?,1.656,0.398,0,0,5.571,APO
2018 UR1,?,2.631,0.598,0,0,19.048,AMO
2018 UQ1,?,1.619,0.493,0,0,6.14,APO (PHA)
2018 UP1,?,2.609,0.437,0,0,7.971,MCA
2018 UO1,?,2.103,0.687,0,0,7.878,APO
2018 UN1,?,2.253,0.791,0,0,9.018,APO
2018 UM1,?,1.144,0.174,0,0,4.369,APO
2018 UL1,?,1.263,0.199,0,0,9.408,APO
2018 UK1,?,2.443,0.593,0,0,6.327,APO
2018 UJ1,?,1.296,0.188,0,0,5.698,AMO
2018 UH1,?,1.767,0.539,0,0,6.485,APO
2018 UG1,?,1.529,0.329,0,0,5.049,AMO
2018 UF1,?,1.148,0.418,0,0,7.558,APO
2018 UE1,?,1.021,0.012,0,0,5.059,APO
2018 UD1,?,2.364,0.604,0,0,6.583,APO
2018 UC1,?,1.258,0.161,0,0,6.258,AMO
2018 UB1,?,7.569,0.505,0,0,12.019,CEN
2018 UA1,?,2.529,0.624,0,0,8.441,APO (PHA)
2018 UZ,?,2.656,0.599,0,0,8.732,AMO
2018 UY,?,1.25,0.533,0,0,7.723,APO (PHA)
2018 UX,?,2.59,0.376,0,0,8.724,MCA
2018 UW,?,2.632,0.474,0,0,7.73,MCA
2018 UV,?,3.061,0.387,0,0,9.266,MBA
2018 UU,?,2.272,0.389,0,0,7.561,MCA
2018 UT,?,2.216,0.38,0,0,7.439,MCA
2018 US,?,2.187,0.29,0,0,7.781,MCA
2018 UR,?,2.188,0.346,0,0,7.496,MCA
2018 UQ,?,1.734,0.096,0,0,10.302,MCA
2018 UP,?,2.273,0.384,0,0,7.34,MCA
2018 UO,?,2.245,0.415,0,0,7.196,MCA
2018 UN,?,1.924,0.083,0,0,9.61,IMB
2018 UM,?,1.954,0.054,0,0,10.186,IMB
2018 UL,?,1.344,0.28,0,0,4.553,APO
2018 UK,?,2.413,0.69,0,0,7.402,APO
2018 UJ,?,2.463,0.556,0,0,6.958,AMO
2018 UH,?,2.475,0.609,0,0,8.068,APO
2018 UG,?,2.192,0.538,0,0,6.146,APO
2018 UF,?,1.62,0.363,0,0,7.545,AMO
2018 UE,?,1.266,0.477,0,0,7.792,APO
2018 UD,?,2.743,0.536,0,0,8.032,AMO
2018 UC,?,0.993,0.333,0,0,7.642,ATE
2018 UB,?,1.944,0.591,0,0,7.117,APO
2018 UA,?,1.39,0.447,0,0,6.231,APO
2018 TS9,?,2.32,0.249,0,0,8.28,MBA
2018 TR9,?,2.408,0.167,0,0,9.126,MBA
2018 TP9,?,2.376,0.15,0,0,8.863,MBA
2018 TO9,?,3.204,0.204,0,0,10.098,OMB
2018 TN9,?,2.212,0.211,0,0,8.158,MBA
2018 TK9,?,2.523,0.316,0,0,9.065,MBA
2018 TJ9,?,2.594,0.275,0,0,9.409,MBA
2018 TH9,?,2.636,0.029,0,0,12.171,MBA
2018 TG9,?,2.68,0.277,0,0,10.295,MBA
2018 TF9,?,2.794,0.165,0,0,12.079,MBA
2018 TE9,?,2.632,0.312,0,0,9.169,MBA
2018 TD9,?,2.731,0.073,0,0,10.116,MBA
2018 TC9,?,2.682,0.066,0,0,10.027,MBA
2018 TB9,?,2.754,0.072,0,0,10.112,MBA
2018 TA9,?,3.269,0.168,0,0,10.995,OMB
2018 TZ8,?,2.853,0.108,0,0,10.101,MBA
2018 TW8,?,3.048,0.136,0,0,10.445,MBA
2018 TV8,?,2.732,0.165,0,0,9.95,MBA
2018 TU8,?,2.425,0.133,0,0,9.279,MBA
2018 TT8,?,3.102,0.148,0,0,10.357,MBA
2018 TS8,?,2.761,0.201,0,0,9.571,MBA
2018 TR8,?,2.694,0.168,0,0,9.597,MBA
2018 TO8,?,2.814,0.029,0,0,10.47,MBA
2018 TN8,?,3.042,0.162,0,0,10.214,MBA
2018 TL8,?,2.669,0.262,0,0,9.72,MBA
2018 TK8,?,2.192,0.225,0,0,8.173,MBA
2018 TJ8,?,2.76,0.088,0,0,10.013,MBA
2018 TH8,?,3.059,0.147,0,0,10.735,MBA
2018 TG8,?,2.208,0.269,0,0,7.845,MCA
2018 TF8,?,2.592,0.326,0,0,8.53,MBA
2018 TC8,?,2.567,0.104,0,0,10.578,MBA
2018 TZ7,?,3.061,0.349,0,0,11.205,MBA
2018 TY7,?,2.557,0.273,0,0,8.739,MBA
2018 TW7,?,3.186,0.238,0,0,11.025,MBA
2018 TV7,?,2.68,0.261,0,0,9.508,MBA
2018 TU7,?,3.148,0.2,0,0,11.069,MBA
2018 TS7,?,2.778,0.2,0,0,9.699,MBA
2018 TR7,?,3.962,0.215,0,0,10.81,OMB
2018 TN7,?,2.733,0.135,0,0,10.239,MBA
2018 TM7,?,2.235,0.207,0,0,8.39,MBA
2018 TL7,?,2.321,0.14,0,0,9.082,MBA
2018 TK7,?,2.852,0.082,0,0,10.151,MBA
2018 TE7,?,2.284,0.249,0,0,8.29,MBA
2018 TC7,?,2.212,0.229,0,0,8.164,MBA
2018 TB7,?,2.245,0.201,0,0,11.16,MBA
2018 TZ6,?,3.157,0.267,0,0,10.613,MBA
2018 TY6,?,2.774,0.178,0,0,10.152,MBA
2018 TW6,?,3.093,0.153,0,0,10.141,MBA
2018 TV6,?,1.873,0.087,0,0,10.261,IMB
2018 TU6,?,1.834,0.108,0,0,10.057,MCA
2018 TT6,?,1.215,0.207,0,0,4.744,APO
2018 TS6,?,0.898,0.214,0,0,6.844,ATE
2018 TR6,?,2.206,0.472,0,0,6.519,AMO
2018 TQ6,?,2.438,0.392,0,0,8.788,MCA
2018 TP6,?,1.854,0.073,0,0,10.069,IMB
2018 TO6,?,2.736,0.567,0,0,7.854,AMO
2018 TN6,?,1.648,0.298,0,0,6.53,AMO
2018 TM6,?,1.951,0.576,0,0,7.052,APO
2018 TL6,?,8.222,0.79,0,0,51.665,CEN
2018 TK6,?,1.17,0.38,0,0,6.41,APO
2018 TJ6,?,1.139,0.232,0,0,6.882,APO
2018 TH6,?,1.357,0.287,0,0,5.494,APO
2018 TG6,?,1.064,0.084,0,0,3.972,APO
2018 TF6,?,2.09,0.497,0,0,6.045,AMO
2018 TE6,?,1.127,0.026,0,0,9.192,AMO
2018 TD6,?,1.179,0.241,0,0,5.075,APO
2018 TC6,?,2.35,0.45,0,0,7.092,AMO
2018 TB6,?,1.915,0.298,0,0,9.829,MCA
2018 TA6,?,2.615,0.411,0,0,9.047,MCA
2018 TZ5,?,1.985,0.55,0,0,6.2,APO
2018 TY5,?,0.929,0.511,0,0,12.786,ATE
2018 TX5,?,2.176,0.446,0,0,6.596,AMO
2018 TW5,?,2.232,0.445,0,0,7.009,AMO
2018 TV5,?,1.465,0.528,0,0,7.06,APO
2018 TU5,?,2.264,0.417,0,0,10.707,MCA
2018 TT5,?,1.629,0.474,0,0,6.064,APO
2018 TS5,?,1.605,0.2,0,0,6.461,AMO
2018 TR5,?,2.48,0.551,0,0,8.538,AMO
2018 TQ5,?,2.173,0.571,0,0,17.467,APO
2018 TP5,?,1.683,0.472,0,0,5.821,APO
2018 TO5,?,2.338,0.511,0,0,7.002,AMO
2018 TN5,?,2.202,0.454,0,0,7.188,AMO
2018 TM5,?,2.366,0.35,0,0,8.062,MCA
2018 TL5,?,2.251,0.4,0,0,7.319,MCA
2018 TK5,?,2.385,0.337,0,0,10.088,MCA
2018 TJ5,?,2.793,0.448,0,0,9.299,MCA
2018 TH5,?,1.838,0.006,0,0,11.38,IMB
2018 TG5,?,2.103,0.478,0,0,6.306,AMO
2018 TF5,?,0.904,0.368,0,0,8.355,ATE
2018 TE5,?,1.607,0.348,0,0,5.749,AMO
2018 TD5,?,1.641,0.536,0,0,7.704,APO
2018 TC5,?,1.041,0.039,0,0,7.503,APO
2018 TB5,?,1.126,0.531,0,0,8.43,APO
2018 TA5,?,2.607,0.803,0,0,8.754,APO
2018 TZ4,?,2.381,0.656,0,0,7.649,APO
2018 TY4,?,2.411,0.609,0,0,6.522,APO
2018 TX4,?,1.889,0.709,0,0,8.881,APO
2018 TW4,?,2.165,0.47,0,0,6.689,AMO
2018 TV4,?,1.448,0.495,0,0,7.027,APO
2018 TU4,?,0.971,0.213,0,0,8.833,ATE
2018 TT4,?,1.265,0.317,0,0,8.358,APO
2018 TS4,?,1.104,0.107,0,0,3.993,APO
2018 TR4,?,1.081,0.16,0,0,8.454,APO
2018 TQ4,?,2.516,0.406,0,0,8.016,MCA
2018 TP4,?,1.776,0.246,0,0,9.583,MCA
2018 TO4,?,1.901,0.095,0,0,10.892,IMB
2018 TN4,?,2.426,0.416,0,0,7.599,MCA
2018 TM4,?,1.931,0.086,0,0,10.053,IMB
2018 TL4,?,1.88,0.079,0,0,9.417,IMB
2018 TK4,?,2.896,0.549,0,0,10.883,MCA
2018 TJ4,?,2.452,0.695,0,0,7.422,APO
2018 TH4,?,2.529,0.46,0,0,11.083,MCA
2018 TG4,?,1.639,0.031,0,0,11.712,MCA
2018 TF4,?,2.593,0.341,0,0,12.432,MBA
2018 TE4,?,2.345,0.623,0,0,7.024,APO
2018 TD4,?,1.417,0.373,0,0,5.445,APO
2018 TC4,?,1.449,0.363,0,0,8.221,APO
2018 TB4,?,2.629,0.529,0,0,10.382,AMO
2018 TA4,?,1.967,0.115,0,0,9.719,IMB
2018 TZ3,?,1.88,0.119,0,0,9.897,MCA
2018 TY3,?,3.171,0.321,0,0,11.718,MBA
2018 TX3,?,2.591,0.368,0,0,9.098,MCA
2018 TW3,?,1.871,0.038,0,0,11.903,IMB
2018 TV3,?,2.603,0.333,0,0,13.538,MBA
2018 TU3,?,2.097,0.352,0,0,7.171,MCA
2018 TT3,?,1.818,0.041,0,0,10.015,IMB
2018 TS3,?,2.147,0.344,0,0,7.319,MCA
2018 TR3,?,1.131,0.11,0,0,4.55,APO
2018 TQ3,?,1.814,0.451,0,0,5.641,APO
2018 TP3,?,1.694,0.39,0,0,10.333,AMO
2018 TO3,?,1.131,0.15,0,0,8.433,APO
2018 TN3,?,1.859,0.47,0,0,5.555,APO
2018 TM3,?,1.36,0.268,0,0,4.486,APO
2018 TL3,?,1.207,0.163,0,0,13.288,APO
2018 TK3,?,1.488,0.166,0,0,10.278,AMO
2018 TJ3,?,0.951,0.348,0,0,8.453,ATE
2018 TH3,?,1.221,0.214,0,0,4.465,APO
2018 TG3,?,2.362,0.579,0,0,6.688,APO
2018 TF3,?,2.136,0.714,0,0,8.199,APO (PHA)
2018 TE3,?,2.036,0.462,0,0,6.721,AMO
2018 TD3,?,1.245,0.457,0,0,6.861,APO
2018 TC3,?,2.648,0.601,0,0,7.221,AMO
2018 TB3,?,0.829,0.431,0,0,9.481,ATE
2018 TA3,?,2.574,0.627,0,0,8.234,APO
2018 TZ2,?,2.168,0.653,0,0,7.198,APO
2018 TY2,?,2.292,0.841,0,0,9.707,APO (PHA)
2018 TX2,?,1.747,0.592,0,0,11.215,APO
2018 TW2,?,1.414,0.218,0,0,5.843,AMO
2018 TV2,?,1.642,0.632,0,0,8.24,APO
2018 TU2,?,2.155,0.433,0,0,6.801,AMO
2018 TT2,?,1.271,0.327,0,0,5.851,APO
2018 TS2,?,2.465,0.593,0,0,6.349,APO
2018 TR2,?,1.799,0.302,0,0,6.277,AMO
2018 TQ2,?,2.222,0.531,0,0,6.545,AMO
2018 TP2,?,2.522,0.557,0,0,6.712,AMO
2018 TO2,?,1.101,0.595,0,0,17.079,APO
2018 TN2,?,2.565,0.539,0,0,14.071,AMO
2018 TM2,?,2.494,0.559,0,0,6.903,AMO
2018 TL2,?,2.691,0.596,0,0,6.81,AMO
2018 TK2,?,2.612,0.59,0,0,6.81,AMO
2018 TJ2,?,2.661,0.419,0,0,8.319,MCA
2018 TH2,?,1.703,0.094,0,0,11.411,MCA
2018 TG2,?,1.333,0.327,0,0,5.182,APO
2018 TF2,?,1.703,0.42,0,0,6.888,APO
2018 TE2,?,2.694,0.679,0,0,7.067,APO
2018 TD2,?,0.843,0.415,0,0,9.522,ATE
2018 TC2,?,1.131,0.144,0,0,6.668,APO
2018 TB2,?,2.778,0.683,0,0,7.14,APO
2018 TA2,?,0.978,0.173,0,0,5.344,ATE
2018 TZ1,?,1.098,0.144,0,0,5.555,APO
2018 TY1,?,2.47,0.607,0,0,6.915,APO
2018 TX1,?,1.254,0.145,0,0,8.472,AMO
2018 TW1,?,1.898,0.471,0,0,6.1,APO
2018 TV1,?,2.489,0.575,0,0,6.981,AMO
2018 TU1,?,2.498,0.545,0,0,6.765,AMO
2018 TT1,?,2.752,0.604,0,0,12.34,AMO
2018 TS1,?,1.379,0.423,0,0,5.984,APO
2018 TR1,?,2.482,0.636,0,0,6.747,APO
2018 TQ1,?,1.32,0.231,0,0,5.456,APO
2018 TP1,?,2.162,0.671,0,0,7.479,APO
2018 TO1,?,1.535,0.396,0,0,5.343,APO (PHA)
2018 TN1,?,2.133,0.469,0,0,6.638,AMO
2018 TM1,?,1.9,0.094,0,0,10.45,IMB
2018 TL1,?,2.345,0.409,0,0,8.206,MCA
